nodes__y,nodes__x,nodes__id
2460.779297,1580.787048,168514
2370.147461,1549.990479,168515
2667.880237,1543.015326,157324
2534.227051,1540.079102,168422
2289.642822,2007.125977,158311
2289.203369,1683.858887,157419
2296.124023,1417.135498,157505
2481.939122,1457.286599,168484
2393.858887,1664.266846,158308
2306.7229,1532.016602,168441
2418.37207,1596.654663,168424
2402.365723,1481.422974,168439
2421.403809,1634.69165,189032
2753.517472,2771.567696,158306
2769.585587,2803.146431,189102
2227.07666,1970.824829,168402
2226.636894,1928.829224,168404
2200.126221,1652.576172,168405
2266.130249,1674.994019,168485
2357.341553,1577.351074,168421
2553.884521,1314.457397,168548
2659.892822,1359.23584,168415
2649.333252,1288.246321,168529
2403.775146,1549.015259,168475
2483.756592,1302.601196,168423
2232.004395,1627.856079,168467
2580.626953,1510.858887,168458
2456.540771,1342.765137,189031
2607.702637,1122.023926,168471
2557.518799,1248.758911,168523
2576.636475,1273.11792,168533
2520.001465,1292.006226,168543
2588.558105,1313.327637,189006
2789.593262,1650.589233,168445
2789.039307,1614.085938,168457
2386.193914,1392.902233,168456
2704.902832,1391.826538,189108
2541.338623,1146.094849,168517
2477.184814,1274.100098,168526
2767.954834,1229.971802,168527
2693.473145,1196.18103,189002
2638.38208,1248.129795,168472
2491.964355,1205.761108,189001
2559.498291,1579.740784,168477
2244.897217,1655.428833,168502
2349.799561,1725.943237,168482
2255.146729,1708.084595,189033
2248.492676,2076.404053,189028
2692.140415,1306.0354,168505
2780.123291,1255.178223,168518
2623.437256,1367.517273,168528
2563.586914,1202.721558,168542
2519.408936,1247.081665,168540
2491.794189,1320.579834,189030
2253.443359,1783.325439,189029
2292.243408,1229.930176,189012
2753.174072,2116.607056,10101
2707.172485,2109.123291,63501
2703.838867,1711.279053,10103
2621.986328,1722.692993,10203
2757.695313,2360.223633,10104
2709.769287,2350.745605,84106
2603.901611,2217.389771,10105
2740.009766,2208.19043,10206
2728.199463,2230.776123,21108
2723.381348,2091.778564,10202
2755.867188,2070.699829,21007
2756.846191,2098.219971,31502
2665.171143,1737.298218,10210
2716.898438,1725.36084,42004
2864.819198,2568.235596,10204
